,eid,timestamp,activity,vacancies,managers,applicants,applications,recruiters,offers
0,1,2019-05-20 12:26:57+00:00,open vacancy,['Vacancy[550001] - Manager'],['Bastian Nominacher'],,,,
1,2,2019-05-20 12:26:57+00:00,submit application,,,['Stephan Taylor'],['Application[770001]'],,
2,3,2019-05-20 13:38:13+00:00,submit application,,,['Toon Jansen'],['Application[770002]'],,
3,4,2019-05-20 15:00:46+00:00,submit application,,,['Jorge Li'],['Application[770003]'],,
4,5,2019-05-20 15:45:06+00:00,submit application,,,['Lisa Jones'],['Application[770004]'],,
5,6,2019-05-20 17:14:31+00:00,submit application,['Vacancy[550001] - Manager'],,['Pete Jansen'],['Application[770005]'],,
6,7,2019-05-20 18:57:42+00:00,submit application,['Vacancy[550001] - Manager'],,['Jorge Weber'],['Application[770006]'],,
7,8,2019-05-20 21:24:03+00:00,submit application,,,['Vanessa Lemmens'],['Application[770007]'],,
8,9,2019-05-20 22:25:57+00:00,open vacancy,['Vacancy[550002] - Consultant'],['Bastian Nominacher'],,,,
9,10,2019-05-21 05:11:23+00:00,submit application,['Vacancy[550002] - Consultant'],,['Ray Johnson'],['Application[770008]'],,
10,11,2019-05-21 07:20:51+00:00,submit application,['Vacancy[550001] - Manager'],,['Vanessa Zimmermann'],['Application[770009]'],,
11,12,2019-05-21 08:26:01+00:00,submit application,['Vacancy[550002] - Consultant'],,['Sonia Brown'],['Application[770010]'],,
12,13,2019-05-21 09:36:22+00:00,submit application,,,['Ray Jones'],['Application[770011]'],,
13,14,2019-05-21 10:57:04+00:00,submit application,,,['Ray Pietersen'],['Application[770012]'],,
14,15,2019-05-21 12:38:27+00:00,submit application,['Vacancy[550001] - Manager'],,['Angela Park'],['Application[770013]'],,
15,16,2019-05-21 12:49:29+00:00,open vacancy,['Vacancy[550003] - Programmer'],['Bastian Nominacher'],,,,
16,17,2019-05-21 12:55:58+00:00,assign recruiter,,,,['Application[770009]'],"['Ed Hense', 'Dionne Keane', 'Simon Keane']",
17,18,2019-05-21 13:07:23+00:00,assign recruiter,,,,['Application[770010]'],"['Ed Geisler', 'Ed Kershaw', 'Jana Geisler']",
18,19,2019-05-21 13:21:42+00:00,first screening,,,,['Application[770010]'],['Ed Geisler'],
19,20,2019-05-21 14:01:14+00:00,submit application,['Vacancy[550003] - Programmer'],,['Johan Jansen'],['Application[770014]'],,
